Day,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2016/9/21,1000,960,1030,1020,920,1000,860,1000,1020,1300,1810,2030,1960,2180,2040,2260,2220,2040,2150,2020,1720,1620,1150,1080
2016/9/22,990,920,1000,1010,890,890,840,880,1000,1380,1530,1920,2010,1920,2080,1960,2130,2120,1870,1910,1800,1390,1200,980
2016/9/23,880,850,800,850,860,780,870,980,960,1420,1650,2030,2120,2080,2220,2090,2260,2250,1980,1970,1660,1600,1270,1030
2016/9/26,870,760,860,840,770,840,850,880,1040,1370,1770,2200,2320,2460,2270,2550,2560,2350,2330,2210,1860,1700,1280,1100
2016/9/27,1080,1080,990,1070,1060,960,1060,1120,1160,1450,2080,2130,2420,2300,2570,2650,2420,2650,2210,2200,1890,1790,1370,1160
2016/9/28,1110,1050,1110,1120,1020,1100,1110,1100,1270,1490,2210,2340,2590,2470,2610,2650,2350,2580,2170,2260,1920,1810,1240,1250
2016/9/29,1090,1020,1120,1000,1110,990,1100,1210,1160,1570,1930,2380,2220,2550,2390,2630,2420,2620,2160,2220,2030,1580,1310,1100
2016/9/30,1080,990,1110,1050,980,1040,960,1150,1070,1520,1930,1990,2290,2110,2380,2200,2410,2150,2280,1950,1940,1680,1220,1130
2016/10/3,800,870,790,870,860,800,870,900,1070,1410,1720,2190,2100,2450,2220,2490,2250,2400,2220,1870,1880,1480,1220,1010
2016/10/4,1040,960,1040,1060,950,1040,950,1150,1170,1580,2040,2090,2460,2330,2550,2590,2360,2550,2390,2000,1960,1560,1330,1180
2016/10/5,980,1070,970,1070,1050,970,1060,1090,1220,1430,1810,2160,2150,2400,2240,2530,2290,2520,2350,2020,2040,1630,1390,1230
2016/10/6,1020,1130,1050,1130,1090,1000,1060,1090,1050,1580,1880,2320,2470,2410,2640,2410,2540,2510,2180,2220,1830,1690,1290,1090
2016/10/7,1080,1070,990,1080,970,1060,1060,970,1060,1340,1860,2100,2050,2280,2120,2340,2340,2150,2270,1950,1950,1580,1280,1070
2016/10/10,790,830,770,830,830,780,840,860,960,1230,1510,1860,1770,2070,2100,1970,2130,2090,1780,1860,1780,1390,1210,980
2016/10/11,880,860,770,840,850,770,840,890,1000,1280,1530,1920,1810,2100,2070,1860,2100,2070,1860,1890,1600,1600,1300,1060
2016/10/12,1040,970,1040,1010,940,990,1030,1040,1200,1200,1660,1870,1780,2000,2140,2010,2180,1950,2040,1930,1580,1580,1280,1060
2016/10/13,940,890,820,890,810,870,890,890,1010,1260,1480,1860,1750,2000,2020,1860,2020,1870,2000,1700,1720,1510,1140,1130
2016/10/14,820,890,810,860,850,790,860,900,1030,1290,1520,1850,1770,1990,1910,2050,2030,1880,1980,1670,1660,1400,1240,1070
2016/10/17,840,820,760,820,730,820,840,860,1010,1070,1540,1650,1930,1990,1850,2080,2050,1880,1950,1690,1710,1510,1130,1090
2016/10/18,830,870,870,800,880,790,870,910,1030,1250,1820,2010,1950,2240,2120,2340,2360,2150,2170,1980,1720,1660,1230,1160
