Year,Accidents ,Injuries,Deaths
1948,21341,17609,3848
1949,25113,20242,3790
1950,33212,25450,4202
1951,41423,31274,4429
1952,58487,43321,4696
1953,80019,59280,5544
1954,93869,72390,6374
1955,93981,76501,6379
1956,122691,102072,6751
1957,146833,124530,7575
1958,168799,145432,8248
1959,201292,175951,10079
1960,449917,289156,12055
1961,493693,308697,12865
1962,479825,313813,11445
1963,531966,359089,12301
1964,557183,401117,13318
1965,567286,425666,12484
1966,425944,517775,13904
1967,521481,655377,13618
1968,635056,828071,14256
1969,720880,967000,16257
1970,718080,981096,16765
1971,700290,949689,16278
1972,659283,889198,15918
1973,586713,789948,14574
1974,490452,651420,11432
1975,472938,622467,10792
1976,471041,613957,9734
1977,460649,593211,8945
1978,464037,594116,8783
1979,471573,596282,8466
1980,476677,598719,8760
1981,485578,607346,8719
1982,502261,626192,9073
1983,526362,654822,9520
1984,518642,644321,9262
1985,552788,681346,9261
1986,579190,712330,9317
1987,590723,722179,9347
1988,614481,752845,10344
1989,661363,814832,11086
1990,643097,790295,11227
1991,662392,810245,11109
1992,695346,844003,11452
1993,724678,878633,10945
1994,729461,881723,10653
1995,761794,922677,10684
1996,771085,942204,9943
1997,780401,958925,9642
1998,803882,990676,9214
1999,850371,1050399,9012
2000,931950,1155707,9073
2001,947253,1181039,8757
2002,936950,1168029,8396
2003,948281,1181681,7768
2004,952720,1183617,7436
2005,934346,1157113,6937
2006,887267,1098564,6415
2007,832704,1034652,5796
2008,766394,945703,5209
2009,737637,911215,4979
2010,725924,896297,4948
2011,692084,854613,4691
2012,665157,825392,4438
2013,629033,781492,4388
2014,573842,711374,4113
2015,536899,666023,4117
2016,499201,618853,3904
2017,472069,579746,3694
2018,430345,524695,3532
2019,381237,461775,3215
2020,309000,368601,2839
