year,No.,gender,maker,rely,family,unique,refine,urban,advance,perform,design,quality,simple
23,1,m,A,1,2,2,2,1,1,1,2,2,2
23,2,m,A,4,4,4,4,4,4,4,4,4,4
23,3,m,A,4,4,2,3,3,2,3,2,4,4
23,4,m,A,5,5,4,5,3,5,5,5,5,4
23,5,m,A,3,2,1,3,2,2,3,3,2,1
23,6,m,A,4,3,3,4,5,4,4,3,4,4
23,7,f,A,4,3,2,2,3,4,4,4,4,4
23,8,f,A,5,5,2,4,2,4,5,5,5,5
23,9,m,A,3,3,3,3,3,3,3,3,3,3
23,10,f,A,3,4,4,4,4,4,4,2,4,4
23,11,f,A,5,5,4,3,4,5,5,5,5,5
23,12,m,A,4,3,4,4,4,4,3,4,4,4
23,13,m,A,5,4,2,5,5,4,5,4,5,5
23,14,m,A,5,3,3,4,4,4,4,3,5,4
23,15,m,A,2,2,3,2,3,2,2,3,3,4
23,16,m,A,5,4,3,5,4,4,4,4,4,5
23,17,m,A,5,4,3,4,1,4,5,5,5,5
23,18,m,A,2,2,4,2,2,2,1,2,2,2
23,19,m,A,1,1,1,1,1,1,1,1,1,1
23,20,m,A,2,2,1,1,2,2,1,3,1,3
23,21,m,A,4,2,3,4,5,4,4,3,4,3
23,22,m,A,5,5,4,5,5,5,5,4,5,5
23,23,m,A,3,3,3,3,3,3,3,3,3,3
23,24,f,A,5,3,4,5,5,5,5,5,5,4
23,25,m,A,4,4,3,3,5,4,4,3,3,2
23,26,m,A,1,1,4,2,2,3,2,4,1,1
23,27,m,A,2,2,3,3,2,2,2,3,2,1
23,28,f,A,4,4,4,4,4,4,4,4,4,4
23,29,f,A,2,2,3,3,2,2,2,2,2,2
23,30,m,A,4,4,5,4,3,3,4,5,5,5
23,31,f,A,4,3,3,4,4,4,4,4,4,4
23,32,m,A,4,5,2,4,5,5,5,4,5,5
23,33,f,A,4,4,2,3,3,4,4,3,3,3
23,34,f,A,4,4,3,4,5,5,5,4,5,3
23,35,m,A,4,3,3,3,4,4,4,4,4,3
23,36,m,A,4,4,3,3,2,2,3,2,3,4
23,37,f,A,3,3,3,3,3,3,3,3,3,3
23,38,m,A,5,4,3,5,5,4,4,4,5,5
23,39,m,A,5,4,4,5,5,5,5,5,5,4
23,40,f,A,5,2,2,4,4,4,4,3,4,4
23,41,f,A,5,4,2,5,4,5,5,4,5,4
23,42,m,A,5,5,4,5,5,5,5,5,5,4
23,43,m,A,1,1,3,1,1,1,1,2,1,1
