year,No.,gender,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
23,1,m,4,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2
23,2,m,2,2,1,4,4,5,4,5,4,3,5,2,5,5,3,4,4,5,5,5,4,4,2,2,5,5,5,4
23,3,m,5,3,2,3,4,4,3,4,3,4,4,4,4,4,3,2,2,3,4,3,5,2,3,2,4,4,4,4
23,4,m,5,2,3,1,4,4,5,5,1,4,4,4,5,5,2,1,1,4,4,2,4,1,4,4,5,2,4,5
23,5,m,3,3,2,2,1,3,2,4,3,2,1,3,2,3,3,2,4,3,1,3,2,2,2,3,1,3,2,3
23,6,m,4,2,4,2,5,4,4,5,3,2,2,4,3,4,3,2,4,2,4,4,2,2,4,4,4,2,4,2
23,7,f,3,4,4,4,3,4,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,5,3,4,5
23,8,f,5,2,1,1,4,4,4,3,1,2,1,5,4,5,1,1,3,2,2,4,1,5,3,5,5,2,3,1
23,9,m,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
23,10,f,4,5,3,4,2,1,2,1,4,3,1,1,2,1,1,1,4,4,3,2,4,2,2,2,2,4,1,2
23,11,f,3,5,4,2,5,5,4,5,2,2,2,1,5,3,1,3,4,2,3,5,5,4,2,3,5,2,3,4
23,12,m,2,2,2,3,4,4,4,3,2,2,4,2,4,4,2,4,2,3,3,4,5,4,3,4,2,2,4,4
23,13,m,2,5,3,1,4,4,5,5,3,2,2,2,5,5,2,4,3,1,4,5,5,3,5,5,3,4,4,2
23,14,m,2,4,3,2,4,4,5,4,1,3,1,2,5,3,4,3,4,5,1,2,2,1,4,5,5,2,5,4
23,15,m,4,3,2,4,3,3,3,3,3,4,3,2,3,3,1,2,2,3,4,3,3,3,2,3,4,3,2,2
23,16,m,5,1,5,4,5,5,3,5,1,3,4,5,5,5,2,5,5,3,3,4,4,4,3,3,3,4,3,3
23,17,m,4,2,1,1,4,5,5,5,2,4,4,5,5,5,4,2,1,2,4,2,2,5,4,4,4,2,2,2
23,18,m,2,5,4,4,3,2,2,2,5,2,2,3,2,3,4,5,2,4,2,4,4,4,2,2,2,4,2,3
23,19,m,5,1,4,5,3,4,5,5,4,4,5,4,5,5,5,4,5,4,5,5,5,4,4,5,5,4,5,4
23,20,m,1,2,4,4,3,1,2,1,4,4,1,2,2,2,5,5,4,4,3,2,3,3,3,2,2,2,2,2
23,21,m,4,3,1,2,2,2,4,4,2,2,2,2,4,4,1,2,4,4,3,2,4,1,4,2,4,3,2,4
23,22,m,4,2,4,5,5,4,4,5,2,3,4,4,5,5,2,3,2,4,5,4,2,3,4,4,5,3,4,3
23,23,m,5,5,2,1,5,3,5,5,1,5,2,2,2,3,1,1,4,1,5,5,5,2,5,5,4,1,5,5
23,24,f,4,1,4,2,4,4,4,5,2,3,5,5,5,5,2,4,4,2,3,4,5,4,2,4,4,2,4,3
23,25,m,4,5,2,1,4,2,4,5,2,5,5,3,4,4,5,4,2,2,3,3,4,4,2,5,4,1,5,2
23,26,m,5,5,2,3,2,4,5,4,4,3,5,4,5,5,3,4,5,4,5,4,3,4,2,2,5,3,2,3
23,27,m,1,2,5,4,5,1,1,1,5,1,2,1,1,1,4,5,5,4,4,2,1,1,1,2,1,5,4,4
23,28,f,4,4,4,1,2,4,4,4,3,4,2,1,1,4,2,1,4,2,4,4,5,3,5,5,5,2,2,1
23,29,f,2,2,2,2,2,2,2,2,4,3,4,2,2,2,2,2,4,2,2,3,2,2,3,2,2,3,2,3
23,30,m,5,5,4,2,4,4,3,4,2,2,4,2,1,5,2,2,4,3,4,3,2,2,3,3,3,5,2,4
23,31,f,2,4,4,4,5,4,5,5,3,2,4,5,5,5,5,5,3,4,5,3,4,5,5,5,5,2,4,3
23,32,m,4,5,4,1,5,4,5,5,1,2,2,5,3,5,1,1,1,1,4,5,5,2,5,5,4,2,5,1
23,33,f,4,3,3,2,4,4,4,4,2,2,3,2,3,4,2,3,3,1,4,1,4,3,3,4,4,3,4,1
23,34,f,4,2,1,1,3,4,5,5,5,4,4,4,5,5,3,2,1,1,2,1,4,4,2,3,2,4,2,4
23,35,m,5,5,2,2,4,4,2,5,2,5,5,5,5,5,2,4,4,2,4,3,2,3,2,2,4,2,4,4
23,36,m,2,2,3,2,4,3,4,4,3,4,3,3,4,5,4,2,2,3,4,2,2,4,3,4,5,3,4,4
23,37,f,3,2,2,3,4,3,4,4,2,4,2,2,4,4,3,2,2,4,4,3,2,3,4,4,3,2,3,2
23,38,m,5,4,2,1,4,4,4,5,2,3,4,4,5,5,1,5,2,2,4,4,1,2,4,4,5,1,2,4
23,39,m,5,5,1,3,1,4,5,4,1,5,2,4,4,3,3,2,2,2,4,1,4,4,5,4,5,2,5,1
